itemcode,itemname,brand,sellercode,sellername,price,numberOfstock,numberOfsales,cart,purchase
160001,ultrabook,samsung,161101,donald duck,258000,10,4,a@gmail.com 3|d@yahoo.com 1|g@pnu.edu 2,a@gmail.com 3 0 2016-12-10 10:10:10|d@yahoo.com 1 0 2016-12-10 11:11:11
160001,ultrabook,samsung,161103,bomb,240000,2,1,f@naver.com 1,f@naver.com 1 0 2016-12-11 14:00:00
160002,macbook,apple,161102,james,1200000,10,1,,b@naver.com 1 30 2016-12-11 12:01:00
160003,gram,LG,161101,donald duck,615000,5,1,,c@daum.net 1 10 2016-12-10 15:30:05
160003,gram,LG,161102,james,220000,3,1,,e@pnu.edu 1 0 2016-12-11 17:15:50
160004,ipad,apple,161104,jobs,150000,5,1,,g@pnu.edu 1 0 2016-12-09 08:00:00
160005,galaxy s7,samsung,161105,danawa,900000,5,0,,
160006,galaxy s7 s pen,samsung,161105,danawa,30000,5,1,,h@gmail.com 1 0 2016-12-09 10:51:30
160007,ipad smart case,apple,161105,danawa,111000,3,1,,i@gmail.com 1 0 2016-12-12 19:55:00
160008,apple pencil,apple,161104,jobs,118000,2,1,,h@gmail.com 1 0 2016-12-11 12:00:05
160009,force k83 keyboard,gigabyte,161106,noodle,75000,10,1,,i@gmail.com 1 0 2016-12-12 15:00:02
160010,designer mouse,microsoft,161107,bill,24000,5,1,,h@gmail.com 1 0 2016-12-10 14:15:33
160011,mi band,xiaomi,161108,mi,10000,5,1,,h@gmail.com 1 0 2016-12-12 18:30:44
